,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,lat,lon
312,2018-08-01,mc115,,42.81346423562414,73.04692613370736,,,,19.816327723235155,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
313,2018-08-01,mc124,,44.490320455607964,86.0421589669486,,20.5602394916911,,27.18862184254891,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
314,2018-08-01,mc143,,48.30889540566959,89.63563049853374,,24.638440860215052,,27.045943304007817,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
315,2018-08-01,mc282,,15.745324918186066,18.36150070126227,,,0.5147849462365592,1.7432795698924732,Karlshorst,Hintergrund,52.485296,13.529504000000001
316,2018-08-01,mw088,0.3158017765310894,46.212014960261804,83.18758765778401,60.02635577372605,20.076612903225808,,24.2038920056101,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
317,2018-08-01,mc220,,46.52289141414142,87.63176767676768,,24.18222222222222,,26.928636363636365,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
318,2018-08-01,mc032,,11.653385184240724,12.335357431255048,72.29154978962133,13.018115942028988,,0.44993943644013773,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
319,2018-08-01,mc010,,24.633308895405666,29.25,71.7346306685367,18.181451612903224,,3.035434995112414,Wedding,Hintergrund,52.543040999999995,13.349326000000001
320,2018-08-01,mc171,,22.077468230694045,26.51319648093842,,21.97763929618768,,2.8957722385141738,Mitte,Hintergrund,52.51360555555556,13.418833333333334
321,2018-08-01,mc077,,12.074371487725525,12.922058932268559,69.14662225338945,18.310834502103784,,0.8330145777551108,Buch,Stadtrand,52.64416666666666,13.483055555555556
322,2018-08-01,mc042,,19.836876832844574,23.077712609970675,73.56860682561944,22.84145628798504,,2.143647201326023,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
323,2018-08-01,mc018,,17.5715537968343,20.295481867361246,,,,1.834076337407333,Schöneberg,Hintergrund,52.48581388888889,13.348775
324,2018-08-01,mc027,,10.66173144488362,11.49615173473869,82.21656236275801,,,0.5141798418972333,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
325,2018-08-01,mc145,,9.907725572697522,10.490649836372135,72.87359747545582,,,0.3744156147732586,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
326,2018-08-01,mc174,0.3100794331844104,37.57378923676121,64.01860898128062,,22.830474778844348,0.5384748102139406,17.310319297089894,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
327,2018-08-01,mc117,0.32317087424029917,43.709599501324604,74.83343073087111,,20.73965638148668,,20.423913043478265,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
328,2018-08-01,mc085,,9.194074333800838,9.857994389901824,81.8876811594203,16.080645161290327,,0.4762155212716223,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
329,2018-09-01,mc171,,29.672282608695653,40.1790458937198,,24.416540404040404,,6.883574879227053,Mitte,Hintergrund,52.51360555555556,13.418833333333334
330,2018-09-01,mc282,,21.104430171278,29.04407663592446,,,0.704229797979798,5.200516029863857,Karlshorst,Hintergrund,52.485296,13.529504000000001
331,2018-09-01,mc145,,11.486202553485162,12.933122843340236,54.1311922015183,,,0.9480797101449274,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
332,2018-09-01,mc124,,46.95117845117845,102.04162457912457,,22.22962962962963,,36.0685606060606,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
333,2018-09-01,mc085,,11.286616161616163,12.513383838383838,62.66968599033817,16.104166666666664,,0.7964646464646467,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
334,2018-09-01,mc042,,27.7416425120773,36.78878019323671,51.35528812974465,25.06018806073154,,5.974432367149758,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
335,2018-09-01,mc077,,14.821575224292616,16.77558661145618,50.80376121463079,15.186853002070393,,1.3147860593512766,Buch,Stadtrand,52.64416666666666,13.483055555555556
336,2018-09-01,mc117,0.36573232323232324,46.16729797979797,85.30037878787881,,23.009946514837818,,25.63775252525253,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
337,2018-09-01,mc174,0.356268115942029,41.23544685990338,72.27542819499341,,25.65815217391304,0.3995427881297447,20.300812472551602,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
338,2018-09-01,mc027,,12.820410628019326,14.090338164251206,62.23756038647343,,,0.8556159420289855,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
339,2018-09-01,mc018,,25.623830698287225,31.81607927097057,,,,4.069834211682038,Schöneberg,Hintergrund,52.48581388888889,13.348775
340,2018-09-01,mc115,,46.55169082125604,85.63303140096619,,,,25.627657004830915,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
341,2018-09-01,mc143,,52.474747474747474,109.12058080808082,,27.294927536231874,,37.11035353535354,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
342,2018-09-01,mc032,,13.179166666666669,14.592089371980677,54.99426328502416,14.785858585858588,,0.8890096618357487,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
343,2018-09-01,mw088,0.36381469979296077,51.62165404040404,101.44501262626262,40.657160110420975,21.017658730158733,,32.617992424242416,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
344,2018-09-01,mc220,,52.39267676767677,109.9227272727273,,25.820833333333326,,37.65631313131313,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
